client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
509,true,107.9,10470026,4951,68.14,""
510,true,107.5,8500650,4940,82.94,""
511,true,132.6,4552676,4942,134.68,""
512,true,95.2,10470026,4989,85.42,""
513,true,56.8,10326309,5016,75.90,""
514,true,58.5,10470026,5010,82.40,""
515,true,40.5,5323711,5039,72.85,""
516,true,41.0,10470026,4996,69.08,""
517,true,58.6,10525626,5024,91.91,""
518,true,109.0,10525626,4929,85.83,""
519,true,96.8,6684658,6238,85.25,"unexpected EOF"
520,true,109.4,7557436,4973,57.69,""
521,true,100.1,10470026,4940,72.27,""
522,true,100.0,10525626,4983,66.47,""
523,true,53.5,5523633,5161,202.42,""
524,true,73.7,10448929,5005,75.05,""
525,true,74.0,7791011,4990,61.44,""
526,true,75.4,5060950,4988,58.46,""
527,true,76.1,10470026,4976,61.60,""
528,true,54.5,10525626,5013,110.80,""
529,true,75.7,10515706,5007,73.36,""
530,true,41.2,9047966,5021,76.69,""
531,true,99.4,10525626,4970,82.78,""
532,true,73.9,10525626,4972,68.82,""
533,true,74.1,10525626,4997,73.75,""
534,true,54.0,7239282,5017,43.60,""
535,true,75.3,4163819,4996,77.06,""
536,true,76.0,9983043,5002,81.15,""
537,true,76.5,10470026,4966,67.26,""
538,true,77.1,10470026,4979,80.07,""
539,true,77.7,10526080,4998,79.94,""
540,true,78.1,4207676,5000,45.10,""
541,true,102.4,10470026,4978,81.59,""
542,true,103.1,6629413,6011,243.29,""
543,true,54.2,10448929,5019,80.38,""
544,true,74.0,10448929,4966,88.99,""
545,true,74.7,4989635,5244,50.70,""
546,true,55.2,7410065,6461,95.39,""
547,true,75.7,7094800,5013,91.10,""
548,true,76.0,10448929,5013,79.32,""
549,true,76.4,10126016,4997,69.83,""
550,true,77.0,5905645,5001,61.07,""
551,true,77.5,10161695,4971,57.75,""
552,true,78.2,9453006,4985,80.44,""
553,true,102.1,10448929,4963,67.24,""
554,true,102.7,10370807,4945,73.12,""
555,true,53.9,10491713,5026,68.75,""
556,true,54.6,10525626,5014,72.86,""
557,true,74.0,10448929,5010,56.55,""
558,true,76.0,3388826,5021,66.53,"unexpected EOF"
559,true,75.8,9983043,4982,59.52,""
560,true,55.9,10100132,5032,52.01,""
561,true,53.2,5368999,5014,83.94,""
562,true,53.5,8003163,4995,85.10,""
563,true,54.0,7815438,5029,55.90,""
564,true,54.5,10525626,5028,62.10,""
565,true,74.1,10515706,5006,67.63,""
566,true,113.6,10525626,4971,56.74,""
567,true,111.3,8887502,4951,57.94,""
568,true,111.4,10470026,4941,74.17,""
569,true,76.2,10448929,4993,84.75,""
570,true,78.4,10448929,4985,64.42,""
571,true,53.8,6161717,7256,72.83,""
572,true,54.5,3991507,6129,59.11,""
573,true,102.0,7206515,4969,71.73,""
574,true,50.2,6403831,5025,65.77,""
575,true,79.9,10470026,4973,85.03,""
576,true,80.3,5641905,6240,65.47,"unexpected EOF"
577,true,77.1,5283847,4982,49.04,""
578,true,38.1,6244226,5034,59.28,""
579,true,80.3,10370807,5001,76.12,""
580,true,74.8,9928338,4970,73.76,""
581,true,108.7,8500650,4980,46.71,""
582,true,109.8,9126501,4934,63.39,""
583,true,111.2,4946857,4966,49.66,""
584,true,111.9,9928338,4974,66.51,""
585,true,112.7,9951334,4930,77.74,""
586,true,64.7,10100132,5023,65.11,""
587,true,62.0,10470026,4987,70.26,""
588,true,64.3,10470026,5004,74.03,""
589,true,64.5,9768951,4977,69.53,""
590,true,65.0,3281205,5146,40.23,""
591,true,65.0,10470026,5017,82.88,""
592,true,65.2,10470026,5008,65.63,""
593,true,44.7,10326309,5026,101.87,""
594,true,43.1,10433277,4995,62.06,""
595,true,62.5,8444349,5001,59.12,""
596,true,46.5,10470026,5022,72.04,""
597,true,118.5,6654595,4948,88.90,""
598,true,118.5,10470026,4967,71.25,""
599,true,119.1,9983043,4963,76.50,""
600,true,64.3,10448929,5010,78.36,""
601,true,65.1,10470026,5004,65.97,""
602,true,61.5,10100132,5023,71.97,""
603,true,118.3,10100132,4970,66.12,""
604,true,64.2,9073707,4993,70.63,""
605,true,46.5,10100132,5029,71.63,""
606,true,91.9,10470026,4986,74.05,""
607,true,46.4,10525626,5019,66.00,""
608,true,119.0,6505922,4938,60.10,""
609,true,62.4,7059358,4987,54.46,""
610,true,64.3,10470026,4980,57.30,""
611,true,63.9,10470026,5015,75.70,""
612,true,65.2,10448929,4989,66.43,""
613,true,65.4,10331910,5016,75.27,""
614,true,91.9,10525626,4969,75.03,""
615,true,86.9,10448929,4957,62.68,""
616,true,87.6,10470026,4998,60.74,""
617,true,132.4,3731998,4907,46.87,""
618,true,77.7,10525626,5008,64.76,""
